Item #,RZ1(AUD)
:0527432,221.54
:0527434,263.94
:0527436,380.54
:0527438,369.94
:0527440,316.94
:0527442,369.94
:0527444,91.15
:0527447,391.14
:0527449,391.14
:0527451,210.94
:0527453,316.94
:0527455,90.09
:0527457,94.34
:0527459,302.1
:0527461,221.54
:0527463,391.14
:0527465,295.74
:0527467,316.94
:0527470,295.74
:0527472,90.09
:0527473,94.34
:0527476,391.14
:0527478,316.94
:0527480,391.14
:0527482,369.94
:0527484,391.14
:0527486,391.14
:0527488,302.1
:0527490,316.94
:0527492,391.14
:0527493,221.54
:0527496,302.1
:0527497,94.34
:0527502,316.94
:0527507,295.74
:0527509,302.1
:0527510,391.14
:0527512,302.1
:0527514,94.34
:0527517,391.14
:0527519,391.14
:0527521,21.19
:0527522,295.74
:0527524,369.94
:0527526,21.19
:0527528,274.54
:0527530,90.09
:0527532,21.19
:0527533,94.34
:0527536,295.74
:0527538,380.54
:0527540,21.19
:0527542,302.1
:0527545,316.94
:0527548,316.94
:0527550,391.14
:0527552,263.94
:0527554,21.19
:0527555,94.34
:0527556,210.94
:0527559,295.74
